title,price,asin
Lost In Time (A Blue Bloods Novel),6.411290322580645,1423121295
North! Or Be Eaten (The Wingfeather Saga),13.3344,1400073871
Galileo's Dream,9.39391304347826,0553806599
The Tiger Cruise,14.22090909090909,0967561302
The Psychic,0.99,B0085MKCYE
Marijuana is Safer: So Why Are We Driving People to Drink?,34.45307692307692,1603581448
"Farewell, Dorothy Parker",10.9275,039915907X
Three To Get Lei'd: A Tiki Goddess Mystery (Volume 3),17.54714285714286,1611942888
"The Little Bookstore of Big Stone Gap: A Memoir of Friendship, Community, and the Uncommon Pleasure of a Good Book",15.731764705882354,1250010632
By Love Unveiled,6.797096774193548,1451698380
Child Made of Sand: Poems,12.878571428571428,0547580983
My Man's Best Friend,7.266071428571428,0981649521
Skipped Parts,8.028181818181817,1573226017
New Dawn (The Wandering Engineer Book 1),3.1983333333333333,B009HB1VNS
Daughter of Aphrodite (Daughter Trilogy #1 Paranormal Romance) (The Daughter Trilogy),1.7841666666666667,B00FP4R5UE
The Big Time,11.61,0312890796
Harry Potter and the Chamber of Secrets,12.597575757575758,0439064864
Strapped: Why America's 20- and 30-Somethings Can't Get Ahead,12.893333333333333,0385515057
What Are You Waiting For?: The One Thing No One Ever Tells You About Sex,9.89448275862069,1601423314
Beyond Molasses Creek,8.510769230769231,1595545050
The Last Summer of the Camperdowns: A Novel,10.06,0871403404
"Back to Our Future: How the 1980s Explain the World We Live in Now--Our Culture, Our Politics, Our Everything",20.435517241379312,0345518780
The Confessions of Max Tivoli: A Novel,9.043870967741935,0312423810
Book Lover,4.314444444444445,0984867104
Double Dose 2: Overdose,3.884736842105263,B00KOWDZSI
Unmasking Kelsey (Hagen),9.328,0553590707
"Alice Starmore's Book of Fair Isle Knitting (Dover Knitting, Crochet, Tatting, Lace)",20.83142857142857,0486472183
Bound to the Highlander (The Highland Chiefs) (Volume 1),8.87103448275862,191023401X
The Panther and the Pearl,20.626666666666665,0843935693
"Until We Touch (Fool's Gold,  Book 17)",8.47076923076923,0373778937
This Land Is Their Land: Reports from a Divided Nation,8.33741935483871,0805088407
The Wheatgrass Book: How to Grow and Use Wheatgrass to Maximize Your Health and Vitality by Ann Wigmore,13.371666666666666,0895292343
The Tax Lady's Guide to Beating the IRS and Saving Big Bucks on Your Taxes: Learn How You can Pay Less Money to the IRS by Beating them at their Own Game,4.333333333333333,1933771771
Struck,6.518666666666666,0374372837
"Dangerous Mercy (Secrets of Roux River Bayou, Bk 2)",10.213846153846154,0781403413
Deceitfully Yours,2.4916666666666663,B00EUF1QGI
"The Harry Bosch Novels, Volume 3: A Darkness More than Night, City of Bones, Lost Light",13.253809523809524,0316132853
Clever Fox: A Dani Fox Novel,11.153,0786891467
The Battle for God,10.450000000000001,0345391691
Dutch,21.26047619047619,0446551538
"Love, Life, and Elephants: An African Love Story",13.433666666666667,0374104573
My Life So Far,10.658461538461538,0375507108
The Wretched of Muirwood,7.294736842105263,1456399489
Peace River (Rockland Ranch Series) (Volume 1),12.52304347826087,0985164816
The Preppy Cookbook: Classic Recipes for the Modern Prep,12.802,0544114582
The Secret Garden,5.288888888888889,1494400626
Inheritance (Eragon / Eldest / Brisingr) (The Inheritance Cycle),17.770434782608696,0375872035
Night Heat (Kimani Romance),8.164137931034483,1583147780
Dark Shadows : Angélique's Descent,26.068095238095236,0061057517
Secrets Unraveled,10.296666666666667,0615359019
Imp Forsaken (Volume 6),9.951153846153845,1493622625
Acts of Mercy: A Mercy Street Novel,6.67,0345506146
Rush (The Game),9.34,0062192132
Alcatraz: A History of the Penitentiary Years,16.763666666666666,0970461402
Elemental Pleasure (Trinity Master) (Volume 1),9.776666666666667,0988910748
Light Science and Magic: An Introduction to Photographic Lighting,24.480666666666668,0240812255
Wayne's Dead,5.99,1591291976
Invisible Power Book Two: Alex Noziak (Invisible Recruits) (Volume 2),10.65,1939210119
Heaven's Prisoners,10.669444444444444,0671517414
Half Past Midnight,6.191428571428571,1468008536
The Voyage of the Beagle,12.150294117647059,014043268X
Herodotus: The Histories (Penguin Classics),16.36642857142857,0140446389
Heavy Mental (Clancy Parker Mysteries Book 1),0.99,B00AGKUBPS
Darkness Bound (Chimney Rock),4.452,1455500151
Sweet Memories,9.467368421052631,0373770995
Julie and Romeo Get Lucky,8.720384615384615,1416509690
I Could Chew on This: And Other Poems by Dogs,8.385862068965517,1452119031
Harry Potter Hardcover Box Set with Leather Bookmark (Books 1-5),45.92176470588235,0439612551
Savage Sky: Life and Death on a Bomber over Germany in 1944 (Stackpole Military History Series),11.315999999999999,0811733882
Dark Triumph (His Fair Assassin Trilogy),8.091666666666667,0547628382
Home for the Holidays,71.794,0060012617
The Madness Season (Daw Book Collectors),8.762,0886774446
Atomic Lobster: A Novel (Serge Storms),8.505483870967742,0060829699
A Woman Gone Mad,9.99,0615941133
The Knight in Rusty Armor,9.504285714285714,0879804211
"Coconut Oil and Apple Cider Vinegar: 28 Mind Blowing Uses for Coconut Oil and Apple Cider Vinegar (The Apple Cider Vinegar and Coconut Oil Bible - Amazing Benefits, Many Uses, and Natural Cures)",3.6415384615384614,B00IO1WOJC
Shattered & Mended (Shaken Series Book 2),4.42,B00JRJWLKW
Cruxim: You Are Never Alone (DARK GUARDIANS) (Volume 1),8.42,098736023X
Physics of the Future: How Science Will Shape Human Destiny and Our Daily Lives by the Year 2100,13.79875,0307473333
The Forest Bull (The Fearless) (Volume 1),8.95,1484862201
"The Cowboy, The Cheat, His Ex-Wife & Her Vibrator",2.9899999999999998,B00DS86AK0
The World According to Clarkson,14.7684,0141017899
Gallagher's Pride (Montana Gallagher Series Book 1),3.9259259259259256,B006ZOSVFG
Retirementology: Rethinking the American Dream in a New Economy,15.950869565217392,0137056532
Seeking the Spirit of the Book of Change: 8 Days to Mastering a Shamanic Yijing (I Ching) Prediction System,19.349354838709676,1848190204
Rodale's Illustrated Encyclopedia of Herbs,15.818928571428572,087596964X
